Phonetic component,Onyomi,Vocab Quiz,Vocab Quiz answer,% kanji with commonly used vocab,No. of kanji,Onyomi count,Score
戴,タイ(戴),"[たい]冠式:[n-comm]coronation ceremony; enthronement
頂[だい]:[expr;n-comm;n-suru;trnsitv]accepting; being given; drinking; eating; getting; having; receiving; please (give me; do for me)","戴冠式(たいかんしき)
頂戴(ちょうだい)",1,1,1,2
扉,ヒ(扉),"門[ぴ]:[n-comm]door(s) of a gate
防水[ひ]:[n-comm]watertight door","門扉(もんぴ)
防水扉(ぼうすいひ)",1,1,1,2
批,ヒ(批),"無[ひ]判:[adj-n;n-comm]blind; uncritical
自己[ひ]判:[n-no;n-comm;n-suru;trnsitv]self-criticism","無批判(むひはん)
自己批判(じこひはん)",1,1,1,2
憎,ゾウ(憎),"愛[ぞう]:[n-comm]love and hate
[ぞう]悪:[n-comm;n-suru;trnsitv]abhorrence; detestation; hatred; loathing","愛憎(あいぞう)
憎悪(ぞうお)",1,1,1,2
憑,ヒョウ(憑),"証[ひょう]:[n-comm]documented evidence (contract, voucher, etc.)
[ひょう]霊:[n-comm]spirit possession","証憑(しょうひょう)
憑霊(ひょうれい)",1,1,1,2
愚,グ(愚),"[ぐ]弄:[n-comm;n-suru;trnsitv]derision; mockery; ridicule
[ぐ]直:[adj-n;n-comm]simple honesty; tactless frankness","愚弄(ぐろう)
愚直(ぐちょく)",1,1,1,2
恨,コン(恨),"遺[こん]:[n-comm]enmity; grudge; ill will
痛[こん]:[n-no;n-comm]bitter grief; deep regret; great sorrow","遺恨(いこん)
痛恨(つうこん)",1,1,1,2
恭,キョウ(恭),"温良[きょう]倹譲:[expr;n-comm]cordial, obedient, respectful, modest, and moderate
[きょう]賀新年:[expr]Happy New Year","温良恭倹譲(おんりょうきょうけんじょう)
恭賀新年(きょうがしんねん)",1,1,1,2
惰,ダ(惰),"怠[だ]:[adj-n;n-comm]idle; indolent; lazy; slothful
[だ]性:[n-comm]force of habit; inertia","怠惰(たいだ)
惰性(だせい)",1,1,1,2
悋,リン(悋),"[りん]嗇:[adj-n;n-comm]miserliness; parsimony; stinginess
[りん]気:[n-comm;n-suru;intrnsv]jealousy","悋嗇(りんしょく)
悋気(りんき)",1,1,1,2
悦,エツ(悦),"満[えつ]:[n-comm;n-suru;intrnsv]great delight; great satisfaction; rapture
法[えつ]:[n-comm]ecstasy; religious exultation","満悦(まんえつ)
法悦(ほうえつ)",1,1,1,2
悧,リ(悧),"[り]巧:[adj-n;n-comm]bright; clever; good; intelligent; obedient; sensible; shrewd; smart; well-behaved (esp. of children and pets); wise
[り]口:[adj-n;n-comm]bright; clever; good; intelligent; obedient; sensible; shrewd; smart; well-behaved (esp. of children and pets); wise","悧巧(りこう)
悧口(りこう)",1,1,1,2
墟,キョ(墟),"廃[きょ]:[n-comm]remains; ruins (of a building, town, etc.)
廃[きょ]:[n-comm]remains; ruins (of a building, town, etc.)","廃墟(はいきょ)
廃墟(はいきょ)",1,1,1,2
塩,エン(塩),"[えん]害:[n-comm]salt damage (from seawater, sea air, etc.)
岩[えん]:[n-comm]halite; rock salt","塩害(えんがい)
岩塩(がんえん)",1,1,1,2
婬,イン(婬),"[いん]婦:[n-comm]harlot; lewd woman; prostitute; whore; woman of loose morals
邪[いん]戒:[n-comm]prohibition on adultery and other indecent sexual acts","婬婦(いんぷ)
邪婬戒(じゃいんかい)",1,1,1,2
好,コウ(好),"[こう]走:[n-comm;n-suru;intrnsv]fine running; good run; running well
[こう]遇:[n-comm;n-suru;trnsitv]cordial welcome; hearty welcome; hospitality; kind treatment","好走(こうそう)
好遇(こうぐう)",1,1,1,2
佞,ネイ(佞),"[ねい]:[n-comm]flattery; insincerity
[ねい]悪:[adj-n;n-comm]perverse person; perverseness","佞(ねい)
佞悪(ねいあく)",1,1,1,2
嬋,セン(嬋),"[せん]妍:[adv-to;adjtaru]graceful; slim and beautiful
[せん]娟:[adv-to;adjtaru]graceful; slim and beautiful","嬋妍(せんけん)
嬋娟(せんけん)",1,1,1,2
字,ジ(字),"邦[じ]:[n-comm]Japanese characters; kanji and kana
真一文[じ]:[n-no;n-comm]as the crow flies; straight","邦字(ほうじ)
真一文字(まいちもんじ)",1,1,1,2
宸,シン(宸),"儀[しん]:[n-comm]empress dowager's home
[しん]襟:[n-comm]inner feelings of the emperor; mind of the emperor","儀宸(ぎしん)
宸襟(しんきん)",1,1,1,2
屁,ヒ(屁),放[ひ]:[n-comm;n-suru;intrnsv]breaking wind; farting,放屁(ほうひ),1,1,1,2
寵,チョウ(寵),"[ちょう]愛一身:[n-comm]being the lord's favorite lady; monopolizing the affection (favor) of the lord; standing highest in one's master's favor
[ちょう]愛こうじて尼にする:[expr;v-suru]to love one's child too much for their own good; to love one's daughter so much as to make her a nun","寵愛一身(ちょうあいいっしん)
寵愛こうじて尼にする(ちょうあいこうじてあまにする)",1,1,1,2
屹,キツ(屹),"[きっ]度:[adv]abruptly; almost certainly; having no slack; instantly; most likely (e.g. 90 percent); rigid; severely; sternly; stiff; suddenly; surely; tigh...
[きっ]度:[adv]abruptly; almost certainly; having no slack; instantly; most likely (e.g. 90 percent); rigid; severely; sternly; stiff; suddenly; surely; tigh...","屹度(きっと)
屹度(きっと)",1,1,1,2
囑,ショク(囑),"[しょく]託:[n-comm;n-suru;trnsitv]part-time employee; temporary work; commission; entrusting with (work)
[しょく]託:[n-comm;n-suru;trnsitv]part-time employee; temporary work; commission; entrusting with (work)","囑託(しょくたく)
囑託(しょくたく)",1,1,1,2
坂,ハン(坂),"京[はん]:[n-comm]Kyoto and Osaka; Kyoto-Osaka area
京[はん]:[n-comm]Kyoto and Osaka; Kyoto-Osaka area","京坂(けいはん)
京坂(けいはん)",1,1,1,2
堵,ト(堵),"安[ど]:[n-comm;n-suru;intrnsv;trnsitv]living safely surrounded by walls; reassurance; relief; recognition of right to land ownership (by the shogunate, a ...
安[ど]:[n-comm;n-suru;intrnsv;trnsitv]living safely surrounded by walls; reassurance; relief; recognition of right to land ownership (by the shogunate, a ...","安堵(あんど)
安堵(あんど)",1,1,1,2
堝,カ(堝),"坩[か]:[n-comm]crucible; melting pot; melting pot (of cultures, ideas, etc.); state of ecstasy; state of fevered excitement",坩堝(かんか),1,1,1,2
坤,コン(坤),"乾[こん]:[n-comm]heaven and earth; universe
乾[こん]一擲:[n-comm]play for all or nothing; stake all (on something); throwing all into a task","乾坤(けんこん)
乾坤一擲(けんこんいってき)",1,1,1,2
吶,トツ(吶),"[とつ][とつ]:[adv-to;adjtaru]faltering; halting (speech); stammering
[とつ][とつ]:[adv-to;adjtaru]faltering; halting (speech); stammering","吶吶(とつとつ)
吶吶(とつとつ)",1,1,1,2
哩,リ(哩),"咖[り]:[n-comm]curry (esp. Japanese curry); rice and curry
咖[り]:[n-comm]curry (esp. Japanese curry); rice and curry","咖哩(かり)
咖哩(かり)",1,1,1,2
唇,シン(唇),"上[しん]:[n-comm]labrum; upper lip
下[しん]:[n-comm]lower lip","上唇(じょうしん)
下唇(かしん)",1,1,1,2
啖,タン(啖),"[たん]呵を切る:[expr;v5ru]to speak sharply (e.g. during a heated discussion or argument)
[たん]呵をきる:[expr;v5ru]to speak sharply (e.g. during a heated discussion or argument)","啖呵を切る(たんかをきる)
啖呵をきる(たんかをきる)",1,1,1,2
偉,イ(偉),"[い]容:[n-comm]dignified appearance; imposing appearance; majestic appearance
[い]:[adj-n;n-comm]greatness","偉容(いよう)
偉(い)",1,1,1,2
傷,ショウ(傷),"刃[じょう]:[n-comm]bloodshed
挫[しょう]:[n-comm;n-suru]bruise; contusion; fracture; sprain; wrench","刃傷(にんじょう)
挫傷(ざしょう)",1,1,1,2
儷,レイ(儷),伉[れい]:[n-comm]husband and wife; married couple; spouses,伉儷(こうれい),1,1,1,2
氓,ボウ(氓),"蒼[ぼう]:[n-comm]citizens; the people; the public
流[ぼう]:[n-comm]refugee","蒼氓(そうぼう)
流氓(りゅうぼう)",1,1,1,2
汲,キュウ(汲),"[きゅう][きゅう]:[adv-to;adjtaru]absorbed (in something); diligent
[きゅう][きゅう]:[adv-to;adjtaru]absorbed (in something); diligent","汲汲(きゅうきゅう)
汲汲(きゅうきゅう)",1,1,1,2
渓,ケイ(渓),"雪[けい]:[n-comm]snowy valley
[けい]流:[n-comm]mountain stream; mountain torrent","雪渓(せっけい)
渓流(けいりゅう)",1,1,1,2
渚,ショ(渚),"[しょ]畔:[n-comm]shore; waterside
汀[しょ]:[n-comm]sand bar; waters edge","渚畔(しょはん)
汀渚(ていしょ)",1,1,1,2
涼,リョウ(涼),"納[りょう]:[n-comm;n-suru;intrnsv]escaping the heat to enjoy the cool breeze (by the river, etc.)
清[りょう]飲料水:[n-comm]soft drink","納涼(のうりょう)
清涼飲料水(せいりょういんりょうすい)",1,1,1,2
浣,カン(浣),"[かん]腸器:[n-comm]clyster pump; enema syringe; enema tube; enemator
[かん]腸機:[n-comm]clyster pump; enema syringe; enema tube; enemator","浣腸器(かんちょうき)
浣腸機(かんちょうき)",1,1,1,2
燥,ソウ(燥),"乾[そう]器:[n-comm]desiccator; dryer; drying machine
乾[そう]機:[n-comm]desiccator; dryer; drying machine","乾燥器(かんそうき)
乾燥機(かんそうき)",1,1,1,2
爆,バク(爆),"誘[ばく]:[n-comm;n-suru;intrnsv]induced explosion; secondary explosion
誤[ばく]:[n-comm;n-suru](be killed by) friendly fire; bombing (shelling) the wrong target","誘爆(ゆうばく)
誤爆(ごばく)",1,1,1,2
涂,ト(塗),"[と]布:[n-comm;n-suru;trnsitv]application (of ointment, etc.); coating
[と]料:[n-comm]painting material; paints","塗布(とふ)
塗料(とりょう)",1,1,1,2
瀦,チョ(瀦),"[ちょ]溜:[n-comm;n-suru;intrnsv;trnsitv]accumulation; collection; retention; sequestration (as in carbon dioxide sequestration); storage (usually a liquid, ...",瀦溜(ちょりゅう),1,1,1,2
煎,セン(煎),"[せん]茶:[n-comm]green leaf tea; green tea; medium-grade green tea; non-powdered tea (as opposed to matcha)
[せん]餅:[n-comm]Japanese cracker; rice cookie; rice cracker; senbei; wafer","煎茶(せんちゃ)
煎餅(せんべい)",1,1,1,2
煦,ク(煦),和[く]:[n-comm]warmth of the spring sun,和煦(わく),1,1,1,2
照,ショウ(照),"[しょう]葉樹林:[n-comm]evergreen (glossy-leaved) forest
残[しょう]:[n-comm]afterglow","照葉樹林(しょうようじゅりん)
残照(ざんしょう)",1,1,1,2
牆,ショウ(牆),"[しょう]壁:[n-comm]barrier; boundary fence; enclosing wall; obstacle
[しょう]壁:[n-comm]barrier; boundary fence; enclosing wall; obstacle","牆壁(しょうへき)
牆壁(しょうへき)",1,1,1,2
牌,ハイ(牌),"賞[はい]:[n-comm]medal
雀[ぱい]:[n-comm]mahjong tile","賞牌(しょうはい)
雀牌(じゃんぱい)",1,1,1,2
犢,トク(犢),[とく]鼻褌:[n-comm]fundoshi; kimono underskirt; loincloth; traditional Japanese men's undergarment made from a length of cotton; wrestler's ornamental apron,犢鼻褌(とくびこん),1,1,1,2
潛,セン(潛),"[せん]心:[n-comm]meditation
[せん]心力:[n-comm]potential power","潛心(せんしん)
潛心力(せんしんりょく)",1,1,1,2
澪,レイ(澪),[れい]標:[n-comm]channel buoys; marks in a water channel,澪標(れいひょう),1,1,1,2
濫,ラン(濫),"[らん]読:[n-comm;n-suru;trnsitv]desultory reading; indiscriminate reading; reading at random; unsystematic reading
[らん]造:[n-comm;n-suru;trnsitv]careless manufacture; churning out (substandard goods); overproduction","濫読(らんどく)
濫造(らんぞう)",1,1,1,2
漠,バク(漠),"[ばく]然:[adv-to;adjtaru]ambiguous; hazy; indistinct; obscure; vague
[ばく]然:[adv-to;adjtaru]ambiguous; hazy; indistinct; obscure; vague","漠然(ばくぜん)
漠然(ばくぜん)",1,1,1,2
滾,コン(滾),"[こん][こん]:[adv-to;adjtaru]copious (flowing)
[こん][こん]:[adv-to;adjtaru]copious (flowing)","滾滾(こんこん)
滾滾(こんこん)",1,1,1,2
漆,シツ(漆),"[しっ]黒:[n-no;n-comm]jet black
[しっ]器:[n-comm]lacquer ware; lacquer work; lacquerware; lacquerwork","漆黒(しっこく)
漆器(しっき)",1,1,1,2
漕,ソウ(漕),"[そう]艇:[n-comm;prenom]boating; rowing
運[そう]:[n-comm;n-suru;trnsitv]marine transport; sea freight; shipping","漕艇(そうてい)
運漕(うんそう)",1,1,1,2
滄,ソウ(滄),"桑田[そう]海:[expr]the world is a scene of constant changes (as a mulberry field changing into a blue sea)
[そう]溟:[n-comm]great blue sea; ocean","桑田滄海(そうでんそうかい)
滄溟(そうめい)",1,1,1,2
源,ゲン(源),"病[げん]:[n-no;n-comm]cause of a disease; etiology; origin of an illness; pathogenesis
[げん]平:[n-comm]Genji and Heike clans; two opposing sides","病源(びょうげん)
源平(げんぺい)",1,1,1,2
溢,イツ(溢),"[いっ]血:[n-comm;n-suru;intrnsv]haemorrhage; hemorrhage
気力横[いつ]:[n-comm]being full of vitality (energy); ebullient; effervescent; in exuberant spirits","溢血(いっけつ)
気力横溢(きりょくおういつ)",1,1,1,2
癒,ユ(癒),"治[ゆ]:[n-comm;n-suru;intrnsv]cure; healing; recovery
平[ゆ]:[n-comm;n-suru;intrnsv]convalescence; recovery","治癒(ちゆ)
平癒(へいゆ)",1,1,1,2
癧,レキ(癧),瘰[れき]:[n-comm]scrofula,瘰癧(るいれき),1,1,1,2
癲,テン(癲),"[てん]癇発作:[n-comm]epileptic fit; epileptic seizure
光過敏性[てん]癇:[n-comm]photosensitive epilepsy","癲癇発作(てんかんほっさ)
光過敏性癲癇(ひかりかびんせいてんかん)",1,1,1,2
痼,コ(痼),[こ]疾:[n-comm]chronic disease,痼疾(こしつ),1,1,1,2
痾,ア(痾),"宿[あ]:[n-comm]chronic disease
旧[あ]:[n-comm]persistent disease","宿痾(しゅくあ)
旧痾(きゅうあ)",1,1,1,2
癌,ガン(癌),"[がん]:[n-comm]cancer
[がん]:[n-comm]cancer","癌(がん)
癌(がん)",1,1,1,2
甌,オウ(甌),"[おう]穴:[n-comm]giant's cauldron; giant's kettle; pothole
金[おう]無欠:[n-comm](a nation) having never been invaded by outside forces; flawless; perfect","甌穴(おうけつ)
金甌無欠(きんおうむけつ)",1,1,1,2
盲,モウ(盲),"全[もう]:[n-no;n-comm]total blindness
[もう]腸:[n-comm](vermiform) appendix; appendicitis; blind gut; caecum; cecum","全盲(ぜんもう)
盲腸(もうちょう)",1,1,1,2
眈,タン(眈),"[たん][たん]:[adv-to;adjtaru](glaring) covetously; (watching) eagerly (for a chance)
[たん][たん]:[adv-to;adjtaru](glaring) covetously; (watching) eagerly (for a chance)","眈眈(たんたん)
眈眈(たんたん)",1,1,1,2
皴,シュン(皴),[しゅん]:[n-comm]crease; wrinkle,皴(しゅん),1,1,1,2
猟,リョウ(猟),"[りょう]師:[n-comm]hunter; huntsman
[りょう]犬:[n-comm]gun dog; hound; hunting dog","猟師(りょうし)
猟犬(りょうけん)",1,1,1,2
理,リ(理),"整[り]部:[n-comm]copyreading department
無[り]じい:[n-comm;n-suru;trnsitv]coercion; compulsion; forcing; pushing (to do)","整理部(せいりぶ)
無理じい(むりじい)",1,1,1,2
瑰,カイ(瑰),[かい]麗:[adj-n]exceptionally pretty; extraordinarily beautiful; gorgeous; magnificent,瑰麗(かいれい),1,1,1,2
略,リャク(略),"政[りゃく]:[n-comm]political maneuver; political manoeuvre; politics
[りゃく]取:[n-comm;n-suru;trnsitv]abduction (using violence or threats); capture; kidnapping; looting; plundering","政略(せいりゃく)
略取(りゃくしゅ)",1,1,1,2
畸,キ(畸),"[き]人:[n-comm]crank; eccentric person; freak; odd fellow; oddball; queer fellow
[き]人:[n-comm]crank; eccentric person; freak; odd fellow; oddball; queer fellow","畸人(きじん)
畸人(きじん)",1,1,1,2
疆,キョウ(疆),"辺[きょう]:[n-no;n-comm]border district; frontier; outlying district; remote region
辺[きょう]:[n-no;n-comm]border district; frontier; outlying district; remote region","辺疆(へんきょう)
辺疆(へんきょう)",1,1,1,2
疼,トウ(疼),"複合性局所[とう]痛症候群:[n-comm]complex regional pain syndrome; CRPS
[とう]痛:[n-comm]pain","複合性局所疼痛症候群(ふくごうせいきょくしょとうつうしょうこうぐん)
疼痛(とうつう)",1,1,1,2
噴,フン(噴),"[ふん]水:[n-comm]water fountain
[ふん]射:[n-comm;n-suru;trnsitv]emission; jet; jet propulsion; rocket propulsion; spouting; spray","噴水(ふんすい)
噴射(ふんしゃ)",1,1,1,2
噬,ゼイ(噬),"[ぜい]斉:[n-comm]bitter regret
[ぜい]臍:[n-comm]bitter regret","噬斉(ぜいせい)
噬臍(ぜいせい)",1,1,1,2
嗤,シ(嗤),[し]笑:[n-comm;n-suru]sneer,嗤笑(ししょう),1,1,1,2
垣,エン(垣),"[えん]牆:[n-comm]fence; hedge
紫微[えん]:[n-comm]Purple Forbidden Enclosure (group of constellations in the northern sky associated with the emperor)","垣牆(えんしょう)
紫微垣(しびえん)",1,1,1,2
埃,アイ(埃),"塵[あい]:[n-comm]dirt; dreary world; dust; petty affairs of everyday life
[あい]:[n-comm]Egypt; one ten-billionth","塵埃(じんあい)
埃(あい)",1,1,1,2
埔,ホ(埔),"柬[ぼ]寨:[n-comm]Cambodia
平[ほ]族:[n-comm]plain aborigines; plains indigenous peoples (of Taiwan)","柬埔寨(かんぼじあ)
平埔族(へいほぞく)",1,1,1,2
坎,カン(坎),"[かん]:[n-comm]hole; kan (one of the trigrams of the I Ching: water, north); pit
[かん]坷:[n-comm]separation from the world","坎(かん)
坎坷(かんか)",1,1,1,2
咲,ショウ(咲),巧[しょう]:[n-comm]courteous laughter; forced laughter,巧咲(こうしょう),1,1,1,2
哨,ショウ(哨),"[しょう]戒:[n-comm;n-suru;intrnsv;trnsitv]patrol (with ships or aircraft); patrolling
[しょう]戒:[n-comm;n-suru;intrnsv;trnsitv]patrol (with ships or aircraft); patrolling","哨戒(しょうかい)
哨戒(しょうかい)",1,1,1,2
啓,ケイ(啓),"[けい]蟄:[n-comm]'awakening of insects' solar term (approx. March 6, the day on which hibernating insects are said to come out of the ground)
[けい]示:[n-comm;n-suru;trnsitv](divine) revelation","啓蟄(けいちつ)
啓示(けいじ)",1,1,1,2
喃,ナン(喃),"[なん][なん]:[adv-to;adjtaru]blathering on; chatteringly; prattling on; wittering on
[なん][なん]:[adv-to;adjtaru]blathering on; chatteringly; prattling on; wittering on","喃喃(なんなん)
喃喃(なんなん)",1,1,1,2
呼,コ(呼),"歓[こ]:[n-comm;n-suru;intrnsv]acclamation; jubilation
腹式[こ]吸:[n-comm]abdominal breathing; diaphragmatic breathing","歓呼(かんこ)
腹式呼吸(ふくしきこきゅう)",1,1,1,2
咄,トツ(咄),"[とっ]嗟に:[adv]at once; immediately; in an instant; instantly; on the spur of the moment; quickly; suddenly
[とっ]嗟:[n-no;n-comm]instant; moment","咄嗟に(とっさに)
咄嗟(とっさ)",1,1,1,2
吟,ギン(吟),"[ぎん]遊詩人:[n-comm]minstrel; troubadour
[ぎん]醸酒:[n-comm]ginjō sake; high-quality sake brewed by low temperature fermentation from white rice milled to 60%","吟遊詩人(ぎんゆうしじん)
吟醸酒(ぎんじょうしゅ)",1,1,1,2
靂,レキ(靂),"霹[れき]:[n-comm]thunder; thunderclap
晴天の霹[れき]:[expr;n-comm]a bolt out of the blue","霹靂(へきれき)
晴天の霹靂(せいてんのへきれき)",1,1,1,2
韶,ショウ(韶),[しょう]光:[n-comm]beautiful spring scenery; tranquil spring scenery,韶光(しょうこう),1,1,1,2
陽,ヨウ(陽),"[よう]炎:[n-comm]heat haze; shimmer of hot air
反[よう]子:[n-comm]antiproton","陽炎(ようえん)
反陽子(はんようし)",1,1,1,2
際,サイ(際),"[さい]する:[intrnsv;vsurusp]to arrive; to come to pass
[さい]して:[expr]at the time of; during; on the occasion of; when","際する(さいする)
際して(さいして)",1,1,1,2
霏,ヒ(霏),"[ひ][ひ]:[adv-to;adjtaru]incessant falling (e.g. rain, snow); prolonged continuation (of something)
[ひ][ひ]:[adv-to;adjtaru]incessant falling (e.g. rain, snow); prolonged continuation (of something)","霏霏(ひひ)
霏霏(ひひ)",1,1,1,2
餞,セン(餞),"予[せん]会:[n-comm]farewell party for graduates (held prior to graduation)
[せん]:[n-comm]farewell gift; parting gift; viaticum","予餞会(よせんかい)
餞(せん)",1,1,1,2
饋,キ(饋),"[き]電線:[n-comm]feeder
[き]還:[n-comm;n-suru;intrnsv;trnsitv]repatriation; return (home); feedback (in an electronic circuit, biological system, etc.)","饋電線(きでんせん)
饋還(きかん)",1,1,1,2
饑,キ(饑),"[き]饉:[n-comm]chronic shortage (e.g. of water); crop failure; famine
[き]饉:[n-comm]chronic shortage (e.g. of water); crop failure; famine","饑饉(ききん)
饑饉(ききん)",1,1,1,2
題,ダイ(題),"解[だい]:[n-comm;n-suru;trnsitv]annotation; review of subject; synopsis
改[だい]:[n-comm;n-suru;trnsitv]change of title; changed title; retitling","解題(かいだい)
改題(かいだい)",1,1,1,2
顕,ケン(顕),"自己[けん]示:[n-comm]making oneself conspicuous; pressing one's own cause
電子[けん]微鏡:[n-comm]electron microscope","自己顕示(じこけんじ)
電子顕微鏡(でんしけんびきょう)",1,1,1,2
類,ルイ(類),"菌[るい]:[n-comm]fungi; fungus
甘橘[るい]:[n-comm]citrus fruits","菌類(きんるい)
甘橘類(かんきつるい)",1,1,1,2
顧,コ(顧),"一[こ]:[n-comm;n-suru;trnsitv]a little thought; glance; slightest attention; slightest consideration; slightest notice
回[こ]録:[n-comm]memoirs; reminiscences","一顧(いっこ)
回顧録(かいころく)",1,1,1,2
顯,ケン(顯),"[けん]著:[adj-n;n-comm]obvious; remarkable; striking
[けん]著:[adj-n;n-comm]obvious; remarkable; striking","顯著(けんちょ)
顯著(けんちょ)",1,1,1,2
駑,ド(駑),"騏驎も老いぬれば[ど]馬に劣る:[expr;v5ru]even an outstanding person becomes inferior when getting old
麒麟も老いぬれば[ど]馬に劣る:[expr;v5ru]even an outstanding person becomes inferior when getting old","騏驎も老いぬれば駑馬に劣る(きりんもおいぬればどばにおとる)
麒麟も老いぬれば駑馬に劣る(きりんもおいぬればどばにおとる)",1,1,1,2
駸,シン(駸),"[しん][しん]:[adv-to;adjtaru]flying (of time); proceeding quickly; rapidly; running quickly (of a horse); with great strides
[しん][しん]:[adv-to;adjtaru]flying (of time); proceeding quickly; rapidly; running quickly (of a horse); with great strides","駸駸(しんしん)
駸駸(しんしん)",1,1,1,2
銖,シュ(銖),"[しゅ]:[n-comm]Edo-period unit of currency, 1/16th of a ryō; shu; shu; unit of weight, 1/24th of a ryō",銖(しゅ),1,1,1,2
醗,ハツ(醗),"[はっ]酵:[n-comm;n-suru;intrnsv]fermentation; zymosis
[はっ]酵:[n-comm;n-suru;intrnsv]fermentation; zymosis","醗酵(はっこう)
醗酵(はっこう)",1,1,1,2
醤,ショウ(醤),"[しょう]油差し:[n-comm]soy sauce bottle; soy sauce cruet; soy sauce dispenser
生姜[しょう]油:[n-comm]soy sauce mixed with grated ginger","醤油差し(しょうゆさし)
生姜醤油(しょうがしょうゆ)",1,1,1,2
鈔,ショウ(鈔),"[しょう]本:[n-comm]abridgement; abridgment; book of selections; excerpt
[しょう]本:[n-comm]abridgement; abridgment; book of selections; excerpt","鈔本(しょうほん)
鈔本(しょうほん)",1,1,1,2
配,ハイ(配),"[はい]船:[n-comm;n-suru;intrnsv]assignment of vessels
[はい]偶:[n-no;n-comm;n-suru]husband and wife; husband or wife; married couple; partner; spouse; combination","配船(はいせん)
配偶(はいぐう)",1,1,1,2
釐,リ(釐),"[り]:[n-comm;numeric]rin (monetary unit; 0.001 yen); 0.0375 grams (one-hundredth of a monme); 0.1 percent (one-hundredth of a wari); 0.3 mm (one-hundred...
分[り]:[n-no;n-comm](not) a bit; (not) in the least","釐(り)
分釐(ぶんり)",1,1,1,2
鎖,サ(鎖),"[さ]骨:[n-comm]clavicle; collarbone
連[さ]反応:[n-comm]chain reaction; nuclear chain reaction","鎖骨(さこつ)
連鎖反応(れんさはんのう)",1,1,1,2
鐵,テツ(鐵),"新日本製[てつ]:[n-comm]Nippon Steel Corporation
台[てつ]:[n-comm]Taiwan Railways Administration (abbr)","新日本製鐵(しんにほんせいてつ)
台鐵(たいてつ)",1,1,1,2
閃,セン(閃),"一[せん]:[n-comm;n-suru;intrnsv]flash (of light); glint
[せん][せん]:[adv-to;adjtaru]flickering; fluttering; glistening; glittering; sparkling","一閃(いっせん)
閃閃(せんせん)",1,1,1,2
閉,ヘイ(閉),"[へい]校:[n-comm;n-suru;intrnsv;trnsitv]closing a school (for the day); closing a school (permanently); shutting down a school
幽[へい]:[n-comm;n-suru;trnsitv]confinement; imprisonment; incarceration","閉校(へいこう)
幽閉(ゆうへい)",1,1,1,2
陥,カン(陥),"[かん]没:[n-comm;n-suru;intrnsv]cave-in; collapse; depression (e.g. of the skull); sinking; subsidence
[かん]落:[n-comm;n-suru;intrnsv]being convinced; cave-in; collapse; demotion; fall (in position, rank, etc.); fall (of a city, fortress, etc.); falling in; ...","陥没(かんぼつ)
陥落(かんらく)",1,1,1,2
閤,コウ(閤),"大[こう]:[n-comm]taikō (esp. Toyotomi Hideyoshi); title for a regent, later for the grand chancellor, also for the father of an Imperial adviser (advisor) w...
太[こう]:[n-comm]taikō (esp. Toyotomi Hideyoshi); title for a regent, later for the grand chancellor, also for the father of an Imperial adviser (advisor) w...","大閤(たいこう)
太閤(たいこう)",1,1,1,2
陪,バイ(陪),"[ばい]審:[n-comm]jury
[ばい]審員:[n-comm]juror; juryman","陪審(ばいしん)
陪審員(ばいしんいん)",1,1,1,2
闕,ケツ(闕),"[けつ]乏:[n-comm;n-suru;intrnsv]dearth; deficiency; insufficiency; lack; scarcity; shortage; want
[けつ]乏:[n-comm;n-suru;intrnsv]dearth; deficiency; insufficiency; lack; scarcity; shortage; want","闕乏(けつぼう)
闕乏(けつぼう)",1,1,1,2
侮,ブ(侮),"[ぶ]辱:[n-comm;n-suru;trnsitv]affront; contempt (e.g. of court); insult; slight
[ぶ]蔑:[n-comm;n-suru;trnsitv]contempt; disdain; scorn; slight","侮辱(ぶじょく)
侮蔑(ぶべつ)",1,1,1,2
係,ケイ(係),"[けい]数:[n-comm]coefficient; factor; proportional constant
三角関[けい]:[n-comm]eternal triangle; love triangle","係数(けいすう)
三角関係(さんかくかんけい)",1,1,1,2
倍,バイ(倍),"[ばい]額:[n-comm]double amount
[ばい]加:[n-comm;n-suru;intrnsv;trnsitv]doubling; marked increase; multiplying; redoubling","倍額(ばいがく)
倍加(ばいか)",1,1,1,2
倔,クツ(倔),"[くっ]強:[n-no;adj-n;n-comm]brawny; muscular; robust; strong; sturdy
[くっ]強:[n-no;adj-n;n-comm]brawny; muscular; robust; strong; sturdy","倔強(くっきょう)
倔強(くっきょう)",1,1,1,2
倦,ケン(倦),"[けん]怠:[n-comm;n-suru;intrnsv]boredom; ennui; fatigue; languor; tedium; weariness
[けん]怠感:[n-comm]physical weariness; sense of fatigue; washed-out feeling","倦怠(けんたい)
倦怠感(けんたいかん)",1,1,1,2
併,ヘイ(併),"[へい]存:[n-comm;n-suru;intrnsv]coexistence
[へい]存:[n-comm;n-suru;intrnsv]coexistence","併存(へいぞん)
併存(へいそん)",1,1,1,2
例,レイ(例),"[れい]証:[n-comm;n-suru;trnsitv]example; exemplification; illustration
[れい]證:[n-comm;n-suru;trnsitv]example; exemplification; illustration","例証(れいしょう)
例證(れいしょう)",1,1,1,2
低,テイ(低),"[てい]俗:[adj-n;n-comm]coarse; lowbrow; vulgar
[てい]周波:[n-comm]low frequency","低俗(ていぞく)
低周波(ていしゅうは)",1,1,1,2
